Run_ID,Seed,Scenario,Simulation_Time_sec,Vehicles_Passed,Avg_Travel_Time_sec,Avg_Waiting_Time_sec_per_vehicle,Avg_Queue_Length_vehicles,Total_CO2_kg,Avg_CO2_kg,Total_Fuel_L,Avg_Fuel_L,Avg_Speed_kmh,Fairness_Index,Weather,Zone_Type,Road_Capacity,Throughput_vehicles_per_sec,Model
21,188,Medium,300,122,35.221311186710565,0.2672677573721222,7.2,10.461795460706119,0.03487265141944489,3.383822851803973,0.011279409468415212,6.090792599303039,0.5368519532001991,Fog,Industrial,0.9414143529240084,0.4066666666666667,ppo_10000.zip
22,8597,Medium,300,138,31.905796870247848,0.12700482999754956,5.426666666666667,10.934690537902297,0.03644896833817776,3.536336615948394,0.01178778868053535,6.84110675396227,0.478423554275865,Heavy Rain,Commercial,0.6056357422718995,0.46,ppo_10000.zip
23,6928,Medium,300,126,35.17460289543966,0.2906613733545394,7.3,10.62033209473847,0.03540110686445788,3.434691970622879,0.011448973197246352,6.34002467532883,0.5264552424734297,Rain,Commercial,0.8222586155333649,0.42,ppo_10000.zip
24,1685,Medium,300,120,36.358333030347225,0.3941388856043982,7.966666666666667,10.736865702200813,0.03578955222137087,3.472450848874257,0.011574836124331403,6.041031436751166,0.5572953399798279,Clear,Commercial,0.8122648435651132,0.4,ppo_10000.zip
25,6368,High,60,22,22.81818078099178,0.6772726964876047,4.483333333333333,1.925803337117692,0.032096721750349506,0.6224994932122766,0.010374991380621422,8.21271014364616,0.313132415766896,Fog,Commercial,0.6410767859233786,0.36666666666666664,ppo_10000.zip
26,4183,High,60,15,24.199998386666774,2.153333189777787,6.133333333333334,1.6190147976266118,0.026983579510717205,0.5234561702393281,0.008724269358584313,6.525146460448756,0.38239259109482815,Rain,Residential,0.9772605179065621,0.25,ppo_10000.zip
27,7617,High,60,25,18.03999927840003,0.612666642160001,3.15,1.8750681732781582,0.03125113570045038,0.6062911601491809,0.010104852500738807,9.296480786882706,0.3472736930892375,Heavy Rain,School,0.7368638657168726,0.4166666666666667,ppo_10000.zip
28,1983,High,60,21,22.238094179138372,0.573809496485262,3.4833333333333334,1.880387634826106,0.031339793391438546,0.60802298639758,0.010133716271064396,8.162605014257169,0.3257324221756792,Fog,Industrial,0.5218037856306622,0.35,ppo_10000.zip
29,5415,High,120,49,26.530611703456906,0.3061224427321951,5.025,4.155587612389088,0.03462989648132659,1.3434823383543082,0.011195686059655185,7.1014346853114985,0.46203446886254373,Rain,School,0.8126328970713312,0.4083333333333333,ppo_10000.zip
30,987,High,120,50,27.05999945880001,0.3628333260766668,5.175,4.116056154927507,0.034300467671891995,1.3304331406433183,0.01108694274630313,7.3118803591281525,0.4810941528545475,Rain,Industrial,0.6860603380729169,0.4166666666666667,ppo_10000.zip
31,9035,High,120,46,29.543477618620052,0.5818840453213614,6.441666666666666,4.082621060087831,0.03402184188388325,1.3194897976942692,0.010995748222487675,6.708454310130329,0.4641822878835329,Rain,Industrial,0.9592591637451332,0.38333333333333336,ppo_10000.zip
32,1247,High,120,45,30.599999320000016,0.505185173958848,5.691666666666666,3.89221607829158,0.03243513371547038,1.258056173239947,0.010483801356301213,6.895786371180913,0.4303222613048723,Heavy Rain,Commercial,0.8906641963565417,0.375,ppo_10000.zip
